BOTSWANA EXPORT,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Exporter,Importer,HS Code,HS Code Description,Origin Country,Export Country,Destination Country,Port Of Entry,Place Of Discharge,Declarant,Quantity,Quantity UOM,No Of Package Type,Package Type,Gross Weight,Gross Weight Uom,Net Weight,Net Weight UOM,Customs Value BWP,Customs Value USD,Declaration Office,Invoice Amount BWP,Freight BWP,Chapter,Heading,Sub Heading,Month,Year
01-Aug-2021,BOTSWANA ASH (PTY)LTD,KAMOTO COPPER COMPANY,28362000,Disodium carbonate,Botswana,Botswana,DR Congo,Kolwezi,Kolwezi,BOTSWANA ASH (PTY)LTD,35920,KGM,36,BAG,35920,KGM,35920,KGM,107046.09,9684.7,Sowa Pan Airstrip,107046.09,5352.3,28,2836,283620,August,2021
01-Aug-2021,DUMATAU TRADING (PROPRIETARY) LIMITED,NEOPAK (PTY) LTD,47079000,"Other Recovered (waste and scrap) paper or paperboard, including",Botswana,Botswana,South Africa,Germiston,Tlokweng Gate,BOI XPRESS INVESTMENT (PROPRIETARY) LIMITED,29645,KGM,98,"BALE,COMPRESSED",29645,KGM,29645,KGM,35574,3218.46,Tlokweng Gate,35574,1778.7,47,4707,470790,August,2021
01-Aug-2021,PRINTING AND PUBLISHING COMPANY (BOTSWANA) (PROPRIETARY) LIMITED,CORRUSEAL RECYCLING ( PTY ) LTD,47079000,"Other Recovered (waste and scrap) paper or paperboard, including",Botswana,Botswana,South Africa,Springs,Tlokweng Gate,BOI XPRESS INVESTMENT (PROPRIETARY) LIMITED,32210,KGM,77,"BALE,COMPRESSED",32210,KGM,32210,KGM,41067.75,3715.49,Tlokweng Gate,41067.75,2053.39,47,4707,470790,August,2021
13-Aug-2021,FINE PHARMACEUTICALS (PROPRIETARY) LIMITED,GEKA PHARMA PTY LTD,30049099,Other medicaments consisting of mixed or unmixed products for,United Arab Emirates,Botswana,Namibia,Windhoek,Gaborone Longroom,FINE PHARMACEUTICALS (PROPRIETARY) LIMITED,100,KGM,1,PARCEL,3,KGM,3,KGM,20524.3,1856.88,Mamuno Borderpost,20524.3,1026.21,30,3004,300490,August,2021
13-Aug-2021,MAKORO BRICKS & TILE (PTY) LTD,ZAMBEZI GOLF CC,68101100,Building blocks and bricks,Botswana,Botswana,South Africa,Johannesburg,Martins Drift,RACHEL'S CONSULTANCY (PROPRIETARY) LIMITED,30,KGM,30,PALLET,36000,KGM,36000,KGM,27465,2484.82,Martins Drift,27465,1373.25,68,6810,681011,August,2021
13-Aug-2021,GDS BOTSWANA (PROPRIETARY) LIMITED,RADWIN,85176990,"Other apparatus for transmission or reception of voice, images or other",South Africa,Botswana,South Africa,Johannesburg,Pioneer Gate,MOD- MOL INVESTMENTS (PROPRIETARY) LIMITED,1,EA,1,EACH,1,KGM,1,KGM,111.73,10.11,Pioneer Gate,111.73,5.59,85,8517,851769,August,2021
13-Aug-2021,FAZLU ENTERPRISES (PROPRIETARY) LIMITED,KAIZEN MSD,84082000,Engines of a kind used for the propulsion of vehicles of Chapter 87,South Africa,Botswana,South Africa,Johannesburg,Pioneer Gate,MOD- MOL INVESTMENTS (PROPRIETARY) LIMITED,1,EA,1,EACH,100,KGM,100,KGM,8951.41,809.85,Pioneer Gate,10469.38,523.47,84,8408,840820,August,2021
14-Aug-2021,KHOEMACAU COPPER MINING (PROPRIETARY) LIMITED,TRAFIGURA PTE.LTD,26030000,Copper ores and concentrates,Botswana,Botswana,China,Hongkou,Pioneer Gate,IMPERILOG BOTSWANA (PROPRIETARY) LIMITED,17,KGM,17,BAG,34302,KGM,34251,KGM,1177931.49,106570.14,Pioneer Gate,1177931.49,58896.61,26,2603,260300,August,2021
14-Aug-2021,KOMATSU BOTSWANA (PTY)LTD,KOMATSU SA,27101252,Other prepared lubricating oils,South Africa,Botswana,South Africa,Johannesburg,Tlokweng Gate,BMR AGENTS (PROPRIETARY) LIMITED,200,LTR,1,BOX,200,KGM,200,KGM,170,15.38,Tlokweng Gate,170,8.5,27,2710,271012,August,2021
09-Aug-2021,EBONY BOTSWANA(PROPRIETARY)LIMITED,EBONY,58081000,Braids in the piece,Botswana,Botswana,South Africa,Johannesburg,Tlokweng Gate,BMR AGENTS (PROPRIETARY) LIMITED,15400,KGM,101150,PACKAGE,15400,KGM,15400,KGM,439382.82,39751.96,Tlokweng Gate,439382.82,21969.14,58,5808,580810,August,2021
10-Aug-2021,NORTHERN TEXTILE MILLS (BOTS.),NORTEX SOUTH AFRICA,63026090,"Other Toilet linen and kitchen linen, of terry towelling or similar terry",Botswana,Botswana,South Africa,Johannesburg,Johannesburg,NORTHERN TEXTILE MILLS (BOTS.),506,KGM,506,BOX,5358.11,KGM,4898.85,KGM,504300.52,45625.21,Martins Drift,504300.52,1216.55,63,6302,630260,August,2021
10-Aug-2021,RHINO STEEL ROLLING MILLS (PROPRIETARY) LIMITED,BARNES FENCING INDUSTRIES (PTY) LTD,72142000,"Containing indentations, ribs, grooves or other deformations",Botswana,Botswana,South Africa,Kempton Park,Kempton Park,RHINO STEEL ROLLING MILLS (PROPRIETARY) LIMITED,87,KGM,87,BUNDLE,32190,KGM,32190,KGM,425739.26,38517.6,Pioneer Gate,425739.26,4714.11,72,7214,721420,August,2021
25-Aug-2021,ALMAN METALS (PROPRIETARY) LIMITED,TREPPO GROUP PTY LTD,72042100,Of stainless steel,Botswana,Botswana,South Africa,Johannesburg,Tlokweng Gate,RWANKJIE CUSTOMS & CLEARING (PROPRIETARY) LIMITED,1,KGM,1,KEG,25550,KGM,25550,KGM,72562,6564.85,Tlokweng Gate,72562,3628.1,72,7204,720421,August,2021
